USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
CO|0800320|1600000US0800320|02407696|Acres Green CDP|57|S|1557350|0|0.601|0.|39.555736|-104.89582
CO|0800620|1600000US0800620|02583206|Aetna Estates CDP|57|S|338631|0|0.131|0.|39.738127|-104.673221
CO|0800760|1600000US0800760|02412339|Aguilar town|43|A|1016074|0|0.392|0.|37.403626|-104.655036
CO|0800870|1600000US0800870|02407701|Air Force Academy CDP|57|S|25872587|0|9.989|0.|38.994185|-104.863922
CO|0800925|1600000US0800925|02412340|Akron town|43|A|7180126|0|2.772|0.|40.163466|-103.220274
CO|0801090|1600000US0801090|02409673|Alamosa city|25|A|20628347|191961|7.965|0.074|37.474528|-105.876956
CO|0801145|1600000US0801145|02407709|Alamosa East CDP|57|S|8429393|0|3.255|0.|37.476654|-105.839746
CO|0801420|1600000US0801420|02407720|Allenspark CDP|57|S|30919244|32972|11.938|0.013|40.231281|-105.517986
CO|0801530|1600000US0801530|02412350|Alma town|43|A|1124636|5712|0.434|0.002|39.286131|-106.068893
CO|0801640|1600000US0801640|02583207|Alpine CDP|57|S|2721131|0|1.051|0.|37.687805|-106.586097
CO|0801740|1600000US0801740|02583208|Altona CDP|57|S|4366480|149282|1.686|0.058|40.121928|-105.296165
CO|0801915|1600000US0801915|02583209|Amherst CDP|57|S|1175638|0|0.454|0.|40.683161|-102.172596
CO|0802355|1600000US0802355|02412370|Antonito town|43|A|1104639|0|0.427|0.|37.076246|-106.010332
CO|0802575|1600000US0802575|02407749|Applewood CDP|57|S|10528390|1088715|4.065|0.42|39.747481|-105.172965
CO|0802850|1600000US0802850|02804445|Arapahoe CDP|57|S|718174|0|0.277|0.|38.852919|-102.178897
CO|0802905|1600000US0802905|02407753|Arboles CDP|57|S|13352387|2629320|5.155|1.015|37.020861|-107.421744
CO|0803015|1600000US0803015|02407757|Aristocrat Ranchettes CDP|57|S|3208019|0|1.239|0.|40.108496|-104.760575
CO|0803235|1600000US0803235|02411647|Arriba town|43|A|1292242|0|0.499|0.|39.284326|-103.274032
CO|0803455|1600000US0803455|02409737|Arvada city|25|A|101005113|1692456|38.998|0.653|39.833728|-105.150306
CO|0803620|1600000US0803620|02409743|Aspen city|25|A|10004786|0|3.863|0.|39.195154|-106.836807
CO|0803730|1600000US0803730|02407775|Aspen Park CDP|57|S|6381985|17149|2.464|0.007|39.542654|-105.296307
CO|0803840|1600000US0803840|02407778|Atwood CDP|57|S|2670986|0|1.031|0.|40.550485|-103.274631
CO|0803950|1600000US0803950|02411653|Ault town|43|A|4571361|0|1.765|0.|40.589208|-104.73943
CO|0804000|1600000US0804000|02409757|Aurora city|25|A|425073705|1498809|164.122|0.579|39.709537|-104.720509
CO|0804110|1600000US0804110|02411658|Avon town|43|A|21545124|189919|8.319|0.073|39.641891|-106.51581
CO|0804165|1600000US0804165|02407788|Avondale CDP|57|S|1626657|0|0.628|0.|38.235183|-104.348232
CO|0804620|1600000US0804620|02583210|Bark Ranch CDP|57|S|2232410|24680|0.862|0.01|40.117803|-105.440718
CO|0804935|1600000US0804935|02411665|Basalt town|43|A|5238779|20308|2.023|0.008|39.368585|-107.04876
CO|0805120|1600000US0805120|02407805|Battlement Mesa CDP|57|S|28882934|539195|11.152|0.208|39.452767|-108.00394
CO|0805265|1600000US0805265|02411667|Bayfield town|43|A|5221700|0|2.016|0.|37.234615|-107.593744
CO|0806090|1600000US0806090|02411676|Bennett town|43|A|18487501|146163|7.138|0.056|39.741727|-104.428719
CO|0806172|1600000US0806172|02407830|Berkley CDP|57|S|9303628|1265987|3.592|0.489|39.806595|-105.028775
CO|0806255|1600000US0806255|02411681|Berthoud town|43|A|33834892|350248|13.064|0.135|40.284675|-104.965515
CO|0806530|1600000US0806530|02411684|Bethune town|43|A|419629|0|0.162|0.|39.303822|-102.423414
CO|0806602|1600000US0806602|02407835|Beulah Valley CDP|57|S|6660330|2080|2.572|0.001|38.07271|-104.9817
CO|0806970|1600000US0806970|02407856|Black Forest CDP|57|S|260656587|149909|100.64|0.058|39.063648|-104.679613
CO|0807025|1600000US0807025|02409856|Black Hawk city|25|A|8079596|0|3.12|0.|39.801649|-105.493494
CO|0807190|1600000US0807190|02411696|Blanca town|43|A|4747011|0|1.833|0.|37.439268|-105.513544
CO|0807245|1600000US0807245|02583212|Blende CDP|57|S|2172465|449|0.839|0.|38.249779|-104.568707
CO|0807410|1600000US0807410|02411700|Blue River town|43|A|6304459|257862|2.434|0.1|39.448464|-106.036777
CO|0807420|1600000US0807420|02583213|Blue Sky CDP|57|S|92707|0|0.036|0.|40.300094|-103.805528
CO|0807455|1600000US0807455|02812662|Blue Valley CDP|57|S|2724783|0|1.052|0.|39.699687|-105.492107
CO|0807571|1600000US0807571|02411706|Bonanza town|43|I|1132548|0|0.437|0.|38.296617|-106.141869
CO|0807580|1600000US0807580|02583214|Bonanza Mountain Estates CDP|57|S|435909|0|0.168|0.|39.97689|-105.479577
CO|0807795|1600000US0807795|02411709|Boone town|43|A|980974|25478|0.379|0.01|38.250596|-104.26099
CO|0807850|1600000US0807850|02409883|Boulder city|25|A|69737376|2723891|26.926|1.052|40.024431|-105.251251
CO|0808070|1600000US0808070|02411713|Bow Mar town|43|A|1714309|389964|0.662|0.151|39.626594|-105.050914
CO|0808290|1600000US0808290|02583215|Brandon CDP|57|S|304291|0|0.117|0.|38.4464|-102.441155
CO|0808345|1600000US0808345|02411720|Branson town|43|A|634005|0|0.245|0.|37.015493|-103.883777
CO|0808400|1600000US0808400|02411722|Breckenridge town|43|A|15646160|0|6.041|0.|39.49948|-106.043247
CO|0808530|1600000US0808530|02583216|Brick Center CDP|57|S|14963837|52255|5.778|0.02|39.591236|-104.460798
CO|0808620|1600000US0808620|02805927|Briggsdale CDP|57|S|1133284|0|0.438|0.|40.636005|-104.324272
CO|0808675|1600000US0808675|02409911|Brighton city|25|A|56304297|658973|21.739|0.254|39.965676|-104.794056
CO|0808950|1600000US0808950|02804446|Brook Forest CDP|57|S|3596805|0|1.389|0.|39.573879|-105.394396
CO|0809115|1600000US0809115|02411733|Brookside town|43|A|1227447|0|0.474|0.|38.413495|-105.190945
CO|0809280|1600000US0809280|02409919|Broomfield city|25|A|85384996|1502572|32.967|0.58|39.953877|-105.050898
CO|0809555|1600000US0809555|02409926|Brush city|25|A|7351378|8269|2.838|0.003|40.259263|-103.636334
CO|0810105|1600000US0810105|02411739|Buena Vista town|43|A|10209048|0|3.942|0.|38.829903|-106.140729
CO|0810600|1600000US0810600|02409946|Burlington city|25|A|5560565|0|2.147|0.|39.304169|-102.271412
CO|0810985|1600000US0810985|02407933|Byers CDP|57|S|29656551|1355827|11.45|0.523|39.709435|-104.212848
CO|0811260|1600000US0811260|02413149|Calhan town|43|A|2355870|0|0.91|0.|39.034031|-104.30021
CO|0811645|1600000US0811645|02413155|Campo town|43|A|373692|0|0.144|0.|37.104711|-102.578798
CO|0811810|1600000US0811810|02409976|Cañon City city|25|A|32148517|31525|12.413|0.012|38.441886|-105.220899
CO|0811975|1600000US0811975|02583218|Capulin CDP|57|S|2452765|0|0.947|0.|37.281886|-106.104946
CO|0812030|1600000US0812030|02803717|Carbonate town|43|A|2569452|35903|0.992|0.014|39.746462|-107.340127
CO|0812045|1600000US0812045|02413166|Carbondale town|43|A|5377780|0|2.076|0.|39.395559|-107.21502
